filename,ocr_text,bounding_boxes,confidences,top_20
612M0V6x00L.jpg,DIMENSIONS | inch | 8 | 1.34  | inch | inch| | 3 | Drill holes 3 | apart | Screw langth 98 in,"[[[72, 108], [744, 108], [744, 208], [72, 208]], [[652.4222912360003, 537.2111456180002], [728.8284271247462, 510.1715728752538], [741.5777087639997, 545.7888543819998], [665.1715728752538, 573.8284271247462]], [[590.2835292687641, 558.6551763418878], [660.2971890915406, 534.2412044356437], [672.7164707312359, 574.3448236581122], [603.7028109084594, 598.7587955643563]], [[839.2716429592708, 638.0668719800622], [890.9917012358738, 670.7424708880081], [872.7283570407292, 699.9331280199378], [821.0082987641262, 667.2575291119919]], [[881.3424040507786, 667.0544243046714], [939.9597979746446, 705.4343145750507], [920.6575959492214, 734.9455756953286], [862.0402020253554, 696.5656854249493]], [[347.9038403974048, 817.1326882781833], [421.3060049233101, 790.2489559523981], [435.0961596025952, 829.8673117218167], [362.6939950766899, 856.7510440476019]], [[291.21086857389423, 846.5632605721682], [360.94847564476515, 813.9618703126042], [378.78913142610577, 852.4367394278318], [309.05152435523485, 885.0381296873958]], [[1023, 1480], [1225, 1480], [1225, 1521], [1023, 1521]], [[1241, 1481], [1342, 1481], [1342, 1529], [1241, 1529]], [[438, 1505], [746, 1505], [746, 1555], [438, 1555]]]","[0.9999683339872828, 0.994195315096643, 0.9957072411804155, 0.7110043155446532, 0.9990869760513306, 0.7477435973013488, 0.9255726985430215, 0.9807505476347484, 0.9057009514368782, 0.939940181867785]","[{""text"": ""DIMENSIONS "", ""confidence"": 0.9999683339872828, ""bounding_box"": [[72, 108], [744, 108], [744, 208], [72, 208]]}, {""text"": "" inch "", ""confidence"": 0.9990869760513306, ""bounding_box"": [[881.3424040507786, 667.0544243046714], [939.9597979746446, 705.4343145750507], [920.6575959492214, 734.9455756953286], [862.0402020253554, 696.5656854249493]]}, {""text"": "" 8 "", ""confidence"": 0.9957072411804155, ""bounding_box"": [[590.2835292687641, 558.6551763418878], [660.2971890915406, 534.2412044356437], [672.7164707312359, 574.3448236581122], [603.7028109084594, 598.7587955643563]]}, {""text"": "" inch "", ""confidence"": 0.994195315096643, ""bounding_box"": [[652.4222912360003, 537.2111456180002], [728.8284271247462, 510.1715728752538], [741.5777087639997, 545.7888543819998], [665.1715728752538, 573.8284271247462]]}, {""text"": "" 3 "", ""confidence"": 0.9807505476347484, ""bounding_box"": [[1023, 1480], [1225, 1480], [1225, 1521], [1023, 1521]]}, {""text"": "" apart "", ""confidence"": 0.939940181867785, ""bounding_box"": [[438, 1505], [746, 1505], [746, 1555], [438, 1555]]}, {""text"": "" "", ""confidence"": 0.9255726985430215, ""bounding_box"": [[291.21086857389423, 846.5632605721682], [360.94847564476515, 813.9618703126042], [378.78913142610577, 852.4367394278318], [309.05152435523485, 885.0381296873958]]}, {""text"": "" Drill holes 3 "", ""confidence"": 0.9057009514368782, ""bounding_box"": [[1241, 1481], [1342, 1481], [1342, 1529], [1241, 1529]]}, {""text"": "" inch"", ""confidence"": 0.7477435973013488, ""bounding_box"": [[347.9038403974048, 817.1326882781833], [421.3060049233101, 790.2489559523981], [435.0961596025952, 829.8673117218167], [362.6939950766899, 856.7510440476019]]}, {""text"": "" 1.34  "", ""confidence"": 0.7110043155446532, ""bounding_box"": [[839.2716429592708, 638.0668719800622], [890.9917012358738, 670.7424708880081], [872.7283570407292, 699.9331280199378], [821.0082987641262, 667.2575291119919]]}]"
51H4KRetCaL.jpg,7.9inch | 13.8inch | 8.3inch | 6.8inch,"[[[321, 429], [487, 429], [487, 504], [321, 504]], [[1524, 656], [1572, 656], [1572, 836], [1524, 836]], [[322, 1510], [478, 1510], [478, 1562], [322, 1562]], [[1060, 1510], [1216, 1510], [1216, 1562], [1060, 1562]]]","[0.8948102844743362, 0.9990927450241459, 0.9991340209189975, 0.998025969560851]","[{""text"": "" 8.3inch "", ""confidence"": 0.9991340209189975, ""bounding_box"": [[322, 1510], [478, 1510], [478, 1562], [322, 1562]]}, {""text"": "" 13.8inch "", ""confidence"": 0.9990927450241459, ""bounding_box"": [[1524, 656], [1572, 656], [1572, 836], [1524, 836]]}, {""text"": "" 6.8inch"", ""confidence"": 0.998025969560851, ""bounding_box"": [[1060, 1510], [1216, 1510], [1216, 1562], [1060, 1562]]}, {""text"": ""7.9inch "", ""confidence"": 0.8948102844743362, ""bounding_box"": [[321, 429], [487, 429], [487, 504], [321, 504]]}]"
51aB8tWuI7L.jpg,Size | 104mml 4.09 inch | 26mm | 8 | 110mml | inch | 4.33 | inch | 61mm /2.4 inch,"[[[42, 44], [548, 44], [548, 240], [42, 240]], [[601, 310], [1077, 310], [1077, 372], [601, 372]], [[166, 434], [222, 434], [222, 608], [166, 608]], [[162, 610], [225, 610], [225, 751], [162, 751]], [[1378, 654], [1434, 654], [1434, 874], [1378, 874]], [[166, 754], [222, 754], [222, 882], [166, 882]], [[1377, 875], [1437, 875], [1437, 999], [1377, 999]], [[1378, 1002], [1434, 1002], [1434, 1128], [1378, 1128]], [[750, 1422], [1162, 1422], [1162, 1478], [750, 1478]]]","[0.9999802708625793, 0.813093493905879, 0.9998081922531128, 0.638998480956193, 0.6680253102805657, 0.9995784163475037, 0.7789658883130974, 0.999139666557312, 0.8639014346792468]","[{""text"": ""Size "", ""confidence"": 0.9999802708625793, ""bounding_box"": [[42, 44], [548, 44], [548, 240], [42, 240]]}, {""text"": "" 26mm "", ""confidence"": 0.9998081922531128, ""bounding_box"": [[166, 434], [222, 434], [222, 608], [166, 608]]}, {""text"": "" inch "", ""confidence"": 0.9995784163475037, ""bounding_box"": [[166, 754], [222, 754], [222, 882], [166, 882]]}, {""text"": "" inch "", ""confidence"": 0.999139666557312, ""bounding_box"": [[1378, 1002], [1434, 1002], [1434, 1128], [1378, 1128]]}, {""text"": "" 61mm /2.4 inch"", ""confidence"": 0.8639014346792468, ""bounding_box"": [[750, 1422], [1162, 1422], [1162, 1478], [750, 1478]]}, {""text"": "" 104mml 4.09 inch "", ""confidence"": 0.813093493905879, ""bounding_box"": [[601, 310], [1077, 310], [1077, 372], [601, 372]]}, {""text"": "" 4.33 "", ""confidence"": 0.7789658883130974, ""bounding_box"": [[1377, 875], [1437, 875], [1437, 999], [1377, 999]]}, {""text"": "" 110mml "", ""confidence"": 0.6680253102805657, ""bounding_box"": [[1378, 654], [1434, 654], [1434, 874], [1378, 874]]}, {""text"": "" 8 "", ""confidence"": 0.638998480956193, ""bounding_box"": [[162, 610], [225, 610], [225, 751], [162, 751]]}]"
61B8m15lM2L.jpg,"Colour | TRONI | Material | Polyester, Wood, | Cotton | Item Weight | 1850.0 Grams | Frame Material | Wood,Cotton","[[[960, 280], [1106, 280], [1106, 328], [960, 328]], [[958, 340], [1108, 340], [1108, 388], [958, 388]], [[962, 556], [1140, 556], [1140, 606], [962, 606]], [[957, 614], [1329, 614], [1329, 678], [957, 678]], [[960, 676], [1116, 676], [1116, 726], [960, 726]], [[957, 891], [1225, 891], [1225, 951], [957, 951]], [[960, 952], [1262, 952], [1262, 1002], [960, 1002]], [[960, 1168], [1282, 1168], [1282, 1218], [960, 1218]], [[962, 1228], [1254, 1228], [1254, 1284], [962, 1284]]]","[0.9999794138161714, 0.9992398964970641, 0.9999968389842923, 0.8677149746446243, 0.9999581418790564, 0.9998962291496494, 0.9570080801265062, 0.9732903134186784, 0.9883339960099844]","[{""text"": "" Material "", ""confidence"": 0.9999968389842923, ""bounding_box"": [[962, 556], [1140, 556], [1140, 606], [962, 606]]}, {""text"": ""Colour "", ""confidence"": 0.9999794138161714, ""bounding_box"": [[960, 280], [1106, 280], [1106, 328], [960, 328]]}, {""text"": "" Cotton "", ""confidence"": 0.9999581418790564, ""bounding_box"": [[960, 676], [1116, 676], [1116, 726], [960, 726]]}, {""text"": "" Item Weight "", ""confidence"": 0.9998962291496494, ""bounding_box"": [[957, 891], [1225, 891], [1225, 951], [957, 951]]}, {""text"": "" TRONI "", ""confidence"": 0.9992398964970641, ""bounding_box"": [[958, 340], [1108, 340], [1108, 388], [958, 388]]}, {""text"": "" Wood,Cotton"", ""confidence"": 0.9883339960099844, ""bounding_box"": [[962, 1228], [1254, 1228], [1254, 1284], [962, 1284]]}, {""text"": "" Frame Material "", ""confidence"": 0.9732903134186784, ""bounding_box"": [[960, 1168], [1282, 1168], [1282, 1218], [960, 1218]]}, {""text"": "" 1850.0 Grams "", ""confidence"": 0.9570080801265062, ""bounding_box"": [[960, 952], [1262, 952], [1262, 1002], [960, 1002]]}, {""text"": "" Polyester, Wood, "", ""confidence"": 0.8677149746446243, ""bounding_box"": [[957, 614], [1329, 614], [1329, 678], [957, 678]]}]"
717ivWYnzNL.jpg,18W 2OOOLM CORDLESS LED SPOTLICGHM' | W/h 3 LIIGHINO MODES | First Gear-Only the middle | 18v | row of led lights will be Iit | E | Second Gear - Only the led | 18v | lights on both sides are Iit | 6.OAh | Third Gear - AII | 2 | h | 18v | the led lights are Iit,"[[[96, 15], [1404, 15], [1404, 92], [96, 92]], [[396, 102], [1198, 102], [1198, 178], [396, 178]], [[17, 491], [413, 491], [413, 535], [17, 535]], [[451, 521], [487, 521], [487, 541], [451, 541]], [[19, 531], [407, 531], [407, 573], [19, 573]], [[1064, 720], [1200, 720], [1200, 796], [1064, 796]], [[19, 911], [413, 911], [413, 951], [19, 951]], [[453, 939], [487, 939], [487, 959], [453, 959]], [[15, 947], [409, 947], [409, 991], [15, 991]], [[1331.2145699273442, 1305.8858279709377], [1382.0098935621438, 1286.7728206473541], [1391.7854300726558, 1312.1141720290623], [1340.9901064378562, 1332.2271793526459]], [[19, 1323], [249, 1323], [249, 1363], [19, 1363]], [[1250, 1324], [1332, 1324], [1332, 1402], [1250, 1402]], [[1313.3093088240148, 1345.0402397064163], [1398.9342458440524, 1308.2815075268338], [1410.6906911759852, 1339.9597602935837], [1325.0657541559476, 1376.7184924731662]], [[451, 1351], [487, 1351], [487, 1371], [451, 1371]], [[17, 1361], [313, 1361], [313, 1403], [17, 1403]]]","[0.27820453229576786, 0.35610238375333075, 0.9355701914678682, 0.9940620370152334, 0.5236626594262479, 0.6239222435225464, 0.7118310903962232, 0.9829314374273829, 0.4962095560153162, 0.8603452649875997, 0.6427455548775076, 0.9246313551928012, 0.6002730193977754, 0.9962286276382869, 0.8419386349840444]","[{""text"": "" 18v "", ""confidence"": 0.9962286276382869, ""bounding_box"": [[451, 1351], [487, 1351], [487, 1371], [451, 1371]]}, {""text"": "" 18v "", ""confidence"": 0.9940620370152334, ""bounding_box"": [[451, 521], [487, 521], [487, 541], [451, 541]]}, {""text"": "" 18v "", ""confidence"": 0.9829314374273829, ""bounding_box"": [[453, 939], [487, 939], [487, 959], [453, 959]]}, {""text"": "" First Gear-Only the middle "", ""confidence"": 0.9355701914678682, ""bounding_box"": [[17, 491], [413, 491], [413, 535], [17, 535]]}, {""text"": "" 2 "", ""confidence"": 0.9246313551928012, ""bounding_box"": [[1250, 1324], [1332, 1324], [1332, 1402], [1250, 1402]]}, {""text"": "" 6.OAh "", ""confidence"": 0.8603452649875997, ""bounding_box"": [[1331.2145699273442, 1305.8858279709377], [1382.0098935621438, 1286.7728206473541], [1391.7854300726558, 1312.1141720290623], [1340.9901064378562, 1332.2271793526459]]}, {""text"": "" the led lights are Iit"", ""confidence"": 0.8419386349840444, ""bounding_box"": [[17, 1361], [313, 1361], [313, 1403], [17, 1403]]}, {""text"": "" Second Gear - Only the led "", ""confidence"": 0.7118310903962232, ""bounding_box"": [[19, 911], [413, 911], [413, 951], [19, 951]]}, {""text"": "" Third Gear - AII "", ""confidence"": 0.6427455548775076, ""bounding_box"": [[19, 1323], [249, 1323], [249, 1363], [19, 1363]]}, {""text"": "" E "", ""confidence"": 0.6239222435225464, ""bounding_box"": [[1064, 720], [1200, 720], [1200, 796], [1064, 796]]}, {""text"": "" h "", ""confidence"": 0.6002730193977754, ""bounding_box"": [[1313.3093088240148, 1345.0402397064163], [1398.9342458440524, 1308.2815075268338], [1410.6906911759852, 1339.9597602935837], [1325.0657541559476, 1376.7184924731662]]}, {""text"": "" row of led lights will be Iit "", ""confidence"": 0.5236626594262479, ""bounding_box"": [[19, 531], [407, 531], [407, 573], [19, 573]]}, {""text"": "" lights on both sides are Iit "", ""confidence"": 0.4962095560153162, ""bounding_box"": [[15, 947], [409, 947], [409, 991], [15, 991]]}, {""text"": "" W/h 3 LIIGHINO MODES "", ""confidence"": 0.35610238375333075, ""bounding_box"": [[396, 102], [1198, 102], [1198, 178], [396, 178]]}, {""text"": ""18W 2OOOLM CORDLESS LED SPOTLICGHM' "", ""confidence"": 0.27820453229576786, ""bounding_box"": [[96, 15], [1404, 15], [1404, 92], [96, 92]]}]"
81IlyiuVpdL.jpg,1 | 0 | ESI | 1957 | LIONOSAFFRON | KASHMIRI MONGRA | 1g,"[[[1358.1453644702472, 367.01106855153864], [2148.896199541033, 558.3846499743775], [2068.854635529753, 818.9889314484614], [1278.1038004589668, 627.6153500256225]], [[474.68179759800216, 501.0815258916308], [1333.6265119425152, 432.71111208306576], [1331.3182024019977, 708.9184741083692], [472.3734880574848, 778.2888879169342]], [[837.2624382814558, 1331.094627345634], [948.3770802557829, 1406.97863522392], [814.7375617185442, 1600.905372654366], [704.6229197442171, 1526.02136477608]], [[1543.8495525167289, 1378.0441827174764], [1632.5635117073152, 1310.010588585414], [1786.1504474832711, 1537.9558172825236], [1697.4364882926848, 1605.989411414586]], [[482, 1625], [2089, 1625], [2089, 1809], [482, 1809]], [[568, 1834], [2012, 1834], [2012, 1954], [568, 1954]], [[1250.9657964027856, 1954.038251437606], [1409.056797201353, 1997.9482629875718], [1373.0342035972144, 2116.961748562394], [1214.943202798647, 2073.0517370124285]]]","[0.38299611770413833, 0.31681776752549595, 0.7411199820606722, 0.9999884366989136, 0.7374249046019666, 0.9697629800740618, 0.9978142903697758]","[{""text"": "" 1957 "", ""confidence"": 0.9999884366989136, ""bounding_box"": [[1543.8495525167289, 1378.0441827174764], [1632.5635117073152, 1310.010588585414], [1786.1504474832711, 1537.9558172825236], [1697.4364882926848, 1605.989411414586]]}, {""text"": "" 1g"", ""confidence"": 0.9978142903697758, ""bounding_box"": [[1250.9657964027856, 1954.038251437606], [1409.056797201353, 1997.9482629875718], [1373.0342035972144, 2116.961748562394], [1214.943202798647, 2073.0517370124285]]}, {""text"": "" KASHMIRI MONGRA "", ""confidence"": 0.9697629800740618, ""bounding_box"": [[568, 1834], [2012, 1834], [2012, 1954], [568, 1954]]}, {""text"": "" ESI "", ""confidence"": 0.7411199820606722, ""bounding_box"": [[837.2624382814558, 1331.094627345634], [948.3770802557829, 1406.97863522392], [814.7375617185442, 1600.905372654366], [704.6229197442171, 1526.02136477608]]}, {""text"": "" LIONOSAFFRON "", ""confidence"": 0.7374249046019666, ""bounding_box"": [[482, 1625], [2089, 1625], [2089, 1809], [482, 1809]]}, {""text"": ""1 "", ""confidence"": 0.38299611770413833, ""bounding_box"": [[1358.1453644702472, 367.01106855153864], [2148.896199541033, 558.3846499743775], [2068.854635529753, 818.9889314484614], [1278.1038004589668, 627.6153500256225]]}, {""text"": "" 0 "", ""confidence"": 0.31681776752549595, ""bounding_box"": [[474.68179759800216, 501.0815258916308], [1333.6265119425152, 432.71111208306576], [1331.3182024019977, 708.9184741083692], [472.3734880574848, 778.2888879169342]]}]"
51KDEMo1-sL.jpg,[ | 1 | 8x22incn | 1 | 8xl4inch | 8 | 8 | 1 | 8 | 8 | Size A,"[[[43, 369], [213, 369], [213, 413], [43, 413]], [[235, 369], [405, 369], [405, 413], [235, 413]], [[427, 369], [595, 369], [595, 411], [427, 411]], [[617, 369], [785, 369], [785, 413], [617, 413]], [[809, 369], [979, 369], [979, 413], [809, 413]], [[627, 409], [780, 409], [780, 459], [627, 459]], [[819, 409], [972, 409], [972, 458], [819, 458]], [[437, 411], [589, 411], [589, 453], [437, 453]], [[245, 413], [397, 413], [397, 455], [245, 455]], [[53, 415], [202, 415], [202, 457], [53, 457]], [[407, 724], [640, 724], [640, 800], [407, 800]]]","[0.36117694093619335, 0.5256832013743384, 0.4453460341719218, 0.6185715256192594, 0.172767511366762, 0.9451073145056057, 0.7658867314586679, 0.21499809135448888, 0.7765795435082055, 0.9642441512196456, 0.999023876444884]","[{""text"": "" Size A"", ""confidence"": 0.999023876444884, ""bounding_box"": [[407, 724], [640, 724], [640, 800], [407, 800]]}, {""text"": "" 8 "", ""confidence"": 0.9642441512196456, ""bounding_box"": [[53, 415], [202, 415], [202, 457], [53, 457]]}, {""text"": "" 8 "", ""confidence"": 0.9451073145056057, ""bounding_box"": [[627, 409], [780, 409], [780, 459], [627, 459]]}, {""text"": "" 8 "", ""confidence"": 0.7765795435082055, ""bounding_box"": [[245, 413], [397, 413], [397, 455], [245, 455]]}, {""text"": "" 8 "", ""confidence"": 0.7658867314586679, ""bounding_box"": [[819, 409], [972, 409], [972, 458], [819, 458]]}, {""text"": "" 1 "", ""confidence"": 0.6185715256192594, ""bounding_box"": [[617, 369], [785, 369], [785, 413], [617, 413]]}, {""text"": "" 1 "", ""confidence"": 0.5256832013743384, ""bounding_box"": [[235, 369], [405, 369], [405, 413], [235, 413]]}, {""text"": "" 8x22incn "", ""confidence"": 0.4453460341719218, ""bounding_box"": [[427, 369], [595, 369], [595, 411], [427, 411]]}, {""text"": ""[ "", ""confidence"": 0.36117694093619335, ""bounding_box"": [[43, 369], [213, 369], [213, 413], [43, 413]]}, {""text"": "" 1 "", ""confidence"": 0.21499809135448888, ""bounding_box"": [[437, 411], [589, 411], [589, 453], [437, 453]]}, {""text"": "" 8xl4inch "", ""confidence"": 0.172767511366762, ""bounding_box"": [[809, 369], [979, 369], [979, 413], [809, 413]]}]"
619YXWlhaGL.jpg,"1 | 8 | OPTICAL COATING | NOTE:Only Neewer MRC HD 40.Smm UV filter is included. | Double-sided 30-layer optical coating, the lowest | of reflectivity | point | can reach below 0.1%. | 0.1% or less reflection | Reflected light about 4% | 1 | 6 | KRC | 2 | VS | Double-sided 30-layer optical coating | coating | layer - | Single","[[[406.0843474295577, 175.4253042288673], [455.45092739701846, 154.623479136162], [462.9156525704423, 173.5746957711327], [413.54907260298154, 194.376520863838]], [[120, 330], [128, 330], [128, 360], [120, 360]], [[413, 665], [1195, 665], [1195, 751], [413, 751]], [[423, 767], [1189, 767], [1189, 811], [423, 811]], [[256, 886], [1048, 886], [1048, 942], [256, 942]], [[1132, 890], [1346, 890], [1346, 940], [1132, 940]], [[1043.3700465834029, 895.2731350918687], [1135.3732694681667, 888.576260294751], [1136.6299534165971, 933.7268649081313], [1043.6267305318333, 939.423739705249]], [[613, 949], [987, 949], [987, 989], [613, 989]], [[230, 1122], [554, 1122], [554, 1154], [230, 1154]], [[1039, 1125], [1395, 1125], [1395, 1167], [1039, 1167]], [[293.4452998037748, 1377.167949705662], [338.9962405881957, 1383.913370383635], [337.5547001962252, 1393.832050294338], [291.0037594118043, 1388.086629616365]], [[475, 1381], [503, 1381], [503, 1393], [475, 1393]], [[365, 1385], [387, 1385], [387, 1397], [365, 1397]], [[429, 1385], [455, 1385], [455, 1397], [429, 1397]], [[728, 1422], [940, 1422], [940, 1590], [728, 1590]], [[231, 1491], [598, 1491], [598, 1528], [231, 1528]], [[1207, 1491], [1292, 1491], [1292, 1527], [1207, 1527]], [[1157.0220279500418, 1493.1638810551212], [1215.8748632823197, 1501.1425846350976], [1210.9779720499582, 1527.8361189448788], [1153.1251367176803, 1519.8574153649024]], [[1094, 1496], [1162, 1496], [1162, 1526], [1094, 1526]]]","[0.8059660145502221, 0.9272474314059309, 0.9986700214069469, 0.7189777556671915, 0.7245156431453542, 0.8874507688917586, 0.8236064725008237, 0.8691300675202742, 0.9111489094604827, 0.8527366897518651, 0.8163493381960087, 0.1926961518944701, 0.6694065131014038, 0.9896865162295967, 0.9910442906146467, 0.7879994644327505, 0.9999905830985367, 0.4788696901584594, 0.8413717177770803]","[{""text"": "" coating "", ""confidence"": 0.9999905830985367, ""bounding_box"": [[1207, 1491], [1292, 1491], [1292, 1527], [1207, 1527]]}, {""text"": "" OPTICAL COATING "", ""confidence"": 0.9986700214069469, ""bounding_box"": [[413, 665], [1195, 665], [1195, 751], [413, 751]]}, {""text"": "" VS "", ""confidence"": 0.9910442906146467, ""bounding_box"": [[728, 1422], [940, 1422], [940, 1590], [728, 1590]]}, {""text"": "" 2 "", ""confidence"": 0.9896865162295967, ""bounding_box"": [[429, 1385], [455, 1385], [455, 1397], [429, 1397]]}, {""text"": "" 8 "", ""confidence"": 0.9272474314059309, ""bounding_box"": [[120, 330], [128, 330], [128, 360], [120, 360]]}, {""text"": "" 0.1% or less reflection "", ""confidence"": 0.9111489094604827, ""bounding_box"": [[230, 1122], [554, 1122], [554, 1154], [230, 1154]]}, {""text"": "" of reflectivity "", ""confidence"": 0.8874507688917586, ""bounding_box"": [[1132, 890], [1346, 890], [1346, 940], [1132, 940]]}, {""text"": "" can reach below 0.1%. "", ""confidence"": 0.8691300675202742, ""bounding_box"": [[613, 949], [987, 949], [987, 989], [613, 989]]}, {""text"": "" Reflected light about 4% "", ""confidence"": 0.8527366897518651, ""bounding_box"": [[1039, 1125], [1395, 1125], [1395, 1167], [1039, 1167]]}, {""text"": "" Single"", ""confidence"": 0.8413717177770803, ""bounding_box"": [[1094, 1496], [1162, 1496], [1162, 1526], [1094, 1526]]}, {""text"": "" point "", ""confidence"": 0.8236064725008237, ""bounding_box"": [[1043.3700465834029, 895.2731350918687], [1135.3732694681667, 888.576260294751], [1136.6299534165971, 933.7268649081313], [1043.6267305318333, 939.423739705249]]}, {""text"": "" 1 "", ""confidence"": 0.8163493381960087, ""bounding_box"": [[293.4452998037748, 1377.167949705662], [338.9962405881957, 1383.913370383635], [337.5547001962252, 1393.832050294338], [291.0037594118043, 1388.086629616365]]}, {""text"": ""1 "", ""confidence"": 0.8059660145502221, ""bounding_box"": [[406.0843474295577, 175.4253042288673], [455.45092739701846, 154.623479136162], [462.9156525704423, 173.5746957711327], [413.54907260298154, 194.376520863838]]}, {""text"": "" Double-sided 30-layer optical coating "", ""confidence"": 0.7879994644327505, ""bounding_box"": [[231, 1491], [598, 1491], [598, 1528], [231, 1528]]}, {""text"": "" Double-sided 30-layer optical coating, the lowest "", ""confidence"": 0.7245156431453542, ""bounding_box"": [[256, 886], [1048, 886], [1048, 942], [256, 942]]}, {""text"": "" NOTE:Only Neewer MRC HD 40.Smm UV filter is included. "", ""confidence"": 0.7189777556671915, ""bounding_box"": [[423, 767], [1189, 767], [1189, 811], [423, 811]]}, {""text"": "" KRC "", ""confidence"": 0.6694065131014038, ""bounding_box"": [[365, 1385], [387, 1385], [387, 1397], [365, 1397]]}, {""text"": "" layer - "", ""confidence"": 0.4788696901584594, ""bounding_box"": [[1157.0220279500418, 1493.1638810551212], [1215.8748632823197, 1501.1425846350976], [1210.9779720499582, 1527.8361189448788], [1153.1251367176803, 1519.8574153649024]]}, {""text"": "" 6 "", ""confidence"": 0.1926961518944701, ""bounding_box"": [[475, 1381], [503, 1381], [503, 1393], [475, 1393]]}]"
6154BIwOreL.jpg,Ideal Compact Size | 4.9in | (12.5cm) | 5 | 8.46 in | (1Ocm) | E | Note:Fillto a max of 3/4 full | mark in case the ice sticks together | 0.8in | 1.6in | 5,"[[[311, 1], [885, 1], [885, 85], [311, 85]], [[902, 482], [966, 482], [966, 510], [902, 510]], [[886, 508], [982, 508], [982, 538], [886, 538]], [[826, 660], [900, 660], [900, 688], [826, 688]], [[436, 666], [510, 666], [510, 692], [436, 692]], [[824, 684], [902, 684], [902, 714], [824, 714]], [[428, 690], [522, 690], [522, 720], [428, 720]], [[723, 866], [1018, 866], [1018, 898], [723, 898]], [[723, 893], [1101, 893], [1101, 932], [723, 932]], [[460, 964], [510, 964], [510, 988], [460, 988]], [[440, 1040], [488, 1040], [488, 1064], [440, 1064]], [[320, 1056], [368, 1056], [368, 1080], [320, 1080]]]","[0.7185883287137546, 0.9323493855390619, 0.9316440321719286, 0.6242685249592483, 0.8936533341874977, 0.7992458511325566, 0.7248748855868712, 0.9739218294137386, 0.9245615715419678, 0.9966289430755766, 0.9698809905762487, 0.772845358444588]","[{""text"": "" 0.8in "", ""confidence"": 0.9966289430755766, ""bounding_box"": [[460, 964], [510, 964], [510, 988], [460, 988]]}, {""text"": "" Note:Fillto a max of 3/4 full "", ""confidence"": 0.9739218294137386, ""bounding_box"": [[723, 866], [1018, 866], [1018, 898], [723, 898]]}, {""text"": "" 1.6in "", ""confidence"": 0.9698809905762487, ""bounding_box"": [[440, 1040], [488, 1040], [488, 1064], [440, 1064]]}, {""text"": "" 4.9in "", ""confidence"": 0.9323493855390619, ""bounding_box"": [[902, 482], [966, 482], [966, 510], [902, 510]]}, {""text"": "" (12.5cm) "", ""confidence"": 0.9316440321719286, ""bounding_box"": [[886, 508], [982, 508], [982, 538], [886, 538]]}, {""text"": "" mark in case the ice sticks together "", ""confidence"": 0.9245615715419678, ""bounding_box"": [[723, 893], [1101, 893], [1101, 932], [723, 932]]}, {""text"": "" 8.46 in "", ""confidence"": 0.8936533341874977, ""bounding_box"": [[436, 666], [510, 666], [510, 692], [436, 692]]}, {""text"": "" (1Ocm) "", ""confidence"": 0.7992458511325566, ""bounding_box"": [[824, 684], [902, 684], [902, 714], [824, 714]]}, {""text"": "" 5"", ""confidence"": 0.772845358444588, ""bounding_box"": [[320, 1056], [368, 1056], [368, 1080], [320, 1080]]}, {""text"": "" E "", ""confidence"": 0.7248748855868712, ""bounding_box"": [[428, 690], [522, 690], [522, 720], [428, 720]]}, {""text"": ""Ideal Compact Size "", ""confidence"": 0.7185883287137546, ""bounding_box"": [[311, 1], [885, 1], [885, 85], [311, 85]]}, {""text"": "" 5 "", ""confidence"": 0.6242685249592483, ""bounding_box"": [[826, 660], [900, 660], [900, 688], [826, 688]]}]"
6184EOUF+2L.jpg,CHAIR LEG SOCKS | FIT MOST FURNITURE LEG SHAPES | CHAIR | WITH GIRTH FROM | 8 | 2.7 INCHES TO 7 INCHES,"[[[447, 135], [1345, 135], [1345, 243], [447, 243]], [[540, 266], [1278, 266], [1278, 314], [540, 314]], [[1111, 1217], [1381, 1217], [1381, 1303], [1111, 1303]], [[477, 1263], [841, 1263], [841, 1307], [477, 1307]], [[1138, 1302], [1378, 1302], [1378, 1378], [1138, 1378]], [[475, 1313], [941, 1313], [941, 1357], [475, 1357]]]","[0.737328066567666, 0.9191833493847136, 0.9972775573718455, 0.9094122534139306, 0.9864128600042967, 0.8842983244975797]","[{""text"": "" CHAIR "", ""confidence"": 0.9972775573718455, ""bounding_box"": [[1111, 1217], [1381, 1217], [1381, 1303], [1111, 1303]]}, {""text"": "" 8 "", ""confidence"": 0.9864128600042967, ""bounding_box"": [[1138, 1302], [1378, 1302], [1378, 1378], [1138, 1378]]}, {""text"": "" FIT MOST FURNITURE LEG SHAPES "", ""confidence"": 0.9191833493847136, ""bounding_box"": [[540, 266], [1278, 266], [1278, 314], [540, 314]]}, {""text"": "" WITH GIRTH FROM "", ""confidence"": 0.9094122534139306, ""bounding_box"": [[477, 1263], [841, 1263], [841, 1307], [477, 1307]]}, {""text"": "" 2.7 INCHES TO 7 INCHES"", ""confidence"": 0.8842983244975797, ""bounding_box"": [[475, 1313], [941, 1313], [941, 1357], [475, 1357]]}, {""text"": ""CHAIR LEG SOCKS "", ""confidence"": 0.737328066567666, ""bounding_box"": [[447, 135], [1345, 135], [1345, 243], [447, 243]]}]"
