filename,ocr_text,bounding_boxes,confidences,top_20
41hzThuDG3L.jpg,7.9 in /20 | g | # | 7.9 in /20 cm,"[[[1058, 489], [1106, 489], [1106, 658], [1058, 658]], [[1066, 660], [1098, 660], [1098, 714], [1066, 714]], [[497.79136947850304, 800.1223253065276], [753.9677390318226, 757.7347526116075], [769.208630521497, 929.8776746934724], [513.0322609681774, 971.2652473883925]], [[458, 1084], [686, 1084], [686, 1133], [458, 1133]]]","[0.5565889128236382, 0.955781315653045, 0.13014128618495935, 0.8724627905448674]","[{""text"": "" g "", ""confidence"": 0.955781315653045, ""bounding_box"": [[1066, 660], [1098, 660], [1098, 714], [1066, 714]]}, {""text"": "" 7.9 in /20 cm"", ""confidence"": 0.8724627905448674, ""bounding_box"": [[458, 1084], [686, 1084], [686, 1133], [458, 1133]]}, {""text"": ""7.9 in /20 "", ""confidence"": 0.5565889128236382, ""bounding_box"": [[1058, 489], [1106, 489], [1106, 658], [1058, 658]]}, {""text"": "" # "", ""confidence"": 0.13014128618495935, ""bounding_box"": [[497.79136947850304, 800.1223253065276], [753.9677390318226, 757.7347526116075], [769.208630521497, 929.8776746934724], [513.0322609681774, 971.2652473883925]]}]"
513UKORQu2L.jpg,"Size | 1lcm/4.3"" | 11cm/4.3"" | 21cm/8.3""","[[[73, 51], [289, 51], [289, 163], [73, 163]], [[1234, 774], [1509, 774], [1509, 842], [1234, 842]], [[244.51159033781548, 903.0132622158046], [296.3458980989108, 865.0066494283182], [462.48840966218455, 1104.9867377841954], [410.6541019010892, 1142.9933505716817]], [[745.8785248026842, 1027.854229763221], [1023.3725365201536, 983.8942464265494], [1032.121475197316, 1052.145770236779], [754.6274634798464, 1097.1057535734506]]]","[0.9999843835830688, 0.6741992845210466, 0.7445715580680942, 0.9726209280661758]","[{""text"": ""Size "", ""confidence"": 0.9999843835830688, ""bounding_box"": [[73, 51], [289, 51], [289, 163], [73, 163]]}, {""text"": "" 21cm/8.3\"""", ""confidence"": 0.9726209280661758, ""bounding_box"": [[745.8785248026842, 1027.854229763221], [1023.3725365201536, 983.8942464265494], [1032.121475197316, 1052.145770236779], [754.6274634798464, 1097.1057535734506]]}, {""text"": "" 11cm/4.3\"" "", ""confidence"": 0.7445715580680942, ""bounding_box"": [[244.51159033781548, 903.0132622158046], [296.3458980989108, 865.0066494283182], [462.48840966218455, 1104.9867377841954], [410.6541019010892, 1142.9933505716817]]}, {""text"": "" 1lcm/4.3\"" "", ""confidence"": 0.6741992845210466, ""bounding_box"": [[1234, 774], [1509, 774], [1509, 842], [1234, 842]]}]"
515oOce2d+L.jpg,4cm (Height) | AScm  | (Length) | (width) | !,"[[[1017.4615384615385, 428.3076923076923], [1047.8793771816827, 447.22345771766305], [960.5384615384615, 579.6923076923077], [930.1206228183173, 560.7765422823369]], [[162.8069000274562, 741.1820800878598], [184.55027348509876, 721.038030907289], [237.1930999725438, 780.8179199121402], [215.44972651490124, 800.961969092711]], [[644.1370142686695, 753.4603271104721], [737.7904667326186, 706.1341152475809], [751.8629857313305, 741.5396728895279], [658.2095332673814, 787.8658847524191]], [[233.54323730950202, 768.0261645926676], [305.68499824564555, 832.4441118518386], [279.456762690498, 862.9738354073324], [208.31500175435445, 797.5558881481614]], [[580.0268234150113, 787.3241410735102], [651.5949367040555, 751.9559396356271], [665.9731765849887, 783.6758589264898], [594.4050632959445, 819.0440603643729]]]","[0.7816023627526749, 0.631254893794501, 0.9747433235099737, 0.697371202896569, 0.9131135358586562]","[{""text"": "" (Length) "", ""confidence"": 0.9747433235099737, ""bounding_box"": [[644.1370142686695, 753.4603271104721], [737.7904667326186, 706.1341152475809], [751.8629857313305, 741.5396728895279], [658.2095332673814, 787.8658847524191]]}, {""text"": "" !"", ""confidence"": 0.9131135358586562, ""bounding_box"": [[580.0268234150113, 787.3241410735102], [651.5949367040555, 751.9559396356271], [665.9731765849887, 783.6758589264898], [594.4050632959445, 819.0440603643729]]}, {""text"": ""4cm (Height) "", ""confidence"": 0.7816023627526749, ""bounding_box"": [[1017.4615384615385, 428.3076923076923], [1047.8793771816827, 447.22345771766305], [960.5384615384615, 579.6923076923077], [930.1206228183173, 560.7765422823369]]}, {""text"": "" (width) "", ""confidence"": 0.697371202896569, ""bounding_box"": [[233.54323730950202, 768.0261645926676], [305.68499824564555, 832.4441118518386], [279.456762690498, 862.9738354073324], [208.31500175435445, 797.5558881481614]]}, {""text"": "" AScm  "", ""confidence"": 0.631254893794501, ""bounding_box"": [[162.8069000274562, 741.1820800878598], [184.55027348509876, 721.038030907289], [237.1930999725438, 780.8179199121402], [215.44972651490124, 800.961969092711]]}]"
518wSAeaWlL.jpg,"Sizes Available | 22"" x 52"" | 22"" x 40""","[[[527, 779], [947, 779], [947, 847], [527, 847]], [[710, 876], [878, 876], [878, 926], [710, 926]], [[708, 940], [885, 940], [885, 992], [708, 992]]]","[0.999721607557723, 0.7660859426916403, 0.8744458171060704]","[{""text"": ""Sizes Available "", ""confidence"": 0.999721607557723, ""bounding_box"": [[527, 779], [947, 779], [947, 847], [527, 847]]}, {""text"": "" 22\"" x 40\"""", ""confidence"": 0.8744458171060704, ""bounding_box"": [[708, 940], [885, 940], [885, 992], [708, 992]]}, {""text"": "" 22\"" x 52\"" "", ""confidence"": 0.7660859426916403, ""bounding_box"": [[710, 876], [878, 876], [878, 926], [710, 926]]}]"
61xlub1UoZL.jpg,Giggle 2 in 1 Pram & Pushchair | CoSATT | Pram mode: Suitable from birth to 9kg (approx: 6 months) | 2 | Pushchair mode: Suitable up to | (approx 4 | years) | 1 | Fire their imagination | protection | with Cosattos famous | L | storytelling patterns. | ~CoSATTo | 1 | facing | 'In or out' | pushchair seat with | position recline: | A | All-round suspension and puncture-proof tyres make | for an ultra-smooth ride that can handle multi-terrain:,"[[[768, 28], [1174, 28], [1174, 76], [768, 76]], [[27, 55], [335, 55], [335, 123], [27, 123]], [[442, 66], [1172, 66], [1172, 119], [442, 119]], [[887.9153477109068, 101.11906469908024], [961.6153846153846, 112.07692307692308], [954.0846522890932, 155.88093530091976], [880.3846153846154, 145.92307692307693]], [[501, 109], [891, 109], [891, 151], [501, 151]], [[949, 109], [1088, 109], [1088, 159], [949, 159]], [[1083.2802656784306, 116.38855792470427], [1168.6053612525764, 110.26755368382697], [1169.7197343215694, 144.6114420752957], [1084.3946387474236, 150.73244631617303]], [[887, 203], [1031, 203], [1031, 241], [887, 241]], [[199, 215], [497, 215], [497, 259], [199, 259]], [[884, 245], [1035, 245], [1035, 293], [884, 293]], [[197, 255], [501, 255], [501, 291], [197, 291]], [[885, 289], [1101, 289], [1101, 325], [885, 325]], [[192, 293], [488, 293], [488, 343], [192, 343]], [[470.62918428160435, 449.03467669250307], [519.8415034413491, 489.21970193163173], [506.37081571839565, 505.96532330749693], [457.1584965586509, 465.78029806836827]], [[715.3902892391503, 683.2073760108954], [724.3259906833194, 675.0546270183737], [745.6097107608497, 697.7926239891046], [736.6740093166806, 705.9453729816263]], [[273.9594617776757, 882.1094703550758], [369.83537268631324, 896.7275335036018], [362.0405382223243, 938.8905296449242], [265.16462731368676, 924.2724664963982]], [[140, 894], [274, 894], [274, 926], [140, 926]], [[133, 923], [407, 923], [407, 979], [133, 979]], [[163, 968], [390, 968], [390, 1019], [163, 1019]], [[140, 976], [164, 976], [164, 1004], [140, 1004]], [[255, 1067], [970, 1067], [970, 1116], [255, 1116]], [[253, 1109], [989, 1109], [989, 1145], [253, 1145]]]","[0.6537220553913058, 0.8666907923674425, 0.8459134543066205, 0.6994022021109494, 0.7799837772143894, 0.777873518682779, 0.9989477439145911, 0.729895947770288, 0.999960935340967, 0.9998517678815011, 0.9331805410445668, 0.8103983677360169, 0.7800507279023042, 0.4318834188746679, 0.9123175729034507, 0.7865182415646537, 0.6849353193941745, 0.9529687406304785, 0.9302812853631155, 0.9272686678664321, 0.7787366751291499, 0.7004080860818785]","[{""text"": "" Fire their imagination "", ""confidence"": 0.999960935340967, ""bounding_box"": [[199, 215], [497, 215], [497, 259], [199, 259]]}, {""text"": "" protection "", ""confidence"": 0.9998517678815011, ""bounding_box"": [[884, 245], [1035, 245], [1035, 293], [884, 293]]}, {""text"": "" years) "", ""confidence"": 0.9989477439145911, ""bounding_box"": [[1083.2802656784306, 116.38855792470427], [1168.6053612525764, 110.26755368382697], [1169.7197343215694, 144.6114420752957], [1084.3946387474236, 150.73244631617303]]}, {""text"": "" pushchair seat with "", ""confidence"": 0.9529687406304785, ""bounding_box"": [[133, 923], [407, 923], [407, 979], [133, 979]]}, {""text"": "" with Cosattos famous "", ""confidence"": 0.9331805410445668, ""bounding_box"": [[197, 255], [501, 255], [501, 291], [197, 291]]}, {""text"": "" position recline: "", ""confidence"": 0.9302812853631155, ""bounding_box"": [[163, 968], [390, 968], [390, 1019], [163, 1019]]}, {""text"": "" A "", ""confidence"": 0.9272686678664321, ""bounding_box"": [[140, 976], [164, 976], [164, 1004], [140, 1004]]}, {""text"": "" 1 "", ""confidence"": 0.9123175729034507, ""bounding_box"": [[715.3902892391503, 683.2073760108954], [724.3259906833194, 675.0546270183737], [745.6097107608497, 697.7926239891046], [736.6740093166806, 705.9453729816263]]}, {""text"": "" CoSATT "", ""confidence"": 0.8666907923674425, ""bounding_box"": [[27, 55], [335, 55], [335, 123], [27, 123]]}, {""text"": "" Pram mode: Suitable from birth to 9kg (approx: 6 months) "", ""confidence"": 0.8459134543066205, ""bounding_box"": [[442, 66], [1172, 66], [1172, 119], [442, 119]]}, {""text"": "" L "", ""confidence"": 0.8103983677360169, ""bounding_box"": [[885, 289], [1101, 289], [1101, 325], [885, 325]]}, {""text"": "" facing "", ""confidence"": 0.7865182415646537, ""bounding_box"": [[273.9594617776757, 882.1094703550758], [369.83537268631324, 896.7275335036018], [362.0405382223243, 938.8905296449242], [265.16462731368676, 924.2724664963982]]}, {""text"": "" storytelling patterns. "", ""confidence"": 0.7800507279023042, ""bounding_box"": [[192, 293], [488, 293], [488, 343], [192, 343]]}, {""text"": "" Pushchair mode: Suitable up to "", ""confidence"": 0.7799837772143894, ""bounding_box"": [[501, 109], [891, 109], [891, 151], [501, 151]]}, {""text"": "" All-round suspension and puncture-proof tyres make "", ""confidence"": 0.7787366751291499, ""bounding_box"": [[255, 1067], [970, 1067], [970, 1116], [255, 1116]]}, {""text"": "" (approx 4 "", ""confidence"": 0.777873518682779, ""bounding_box"": [[949, 109], [1088, 109], [1088, 159], [949, 159]]}, {""text"": "" 1 "", ""confidence"": 0.729895947770288, ""bounding_box"": [[887, 203], [1031, 203], [1031, 241], [887, 241]]}, {""text"": "" for an ultra-smooth ride that can handle multi-terrain:"", ""confidence"": 0.7004080860818785, ""bounding_box"": [[253, 1109], [989, 1109], [989, 1145], [253, 1145]]}, {""text"": "" 2 "", ""confidence"": 0.6994022021109494, ""bounding_box"": [[887.9153477109068, 101.11906469908024], [961.6153846153846, 112.07692307692308], [954.0846522890932, 155.88093530091976], [880.3846153846154, 145.92307692307693]]}, {""text"": "" 'In or out' "", ""confidence"": 0.6849353193941745, ""bounding_box"": [[140, 894], [274, 894], [274, 926], [140, 926]]}]"
51R4vYDboCL.jpg,3 | 25cm | I7cm | 42.7cm | 25cm | 0 | 99.5cm | Item: | Size:L9.5*W42.7*H7cm | Power:55W | Area:12-18m2 | Material : Iron + aluminum + Acrylic,"[[[357, 285], [457, 285], [457, 327], [357, 327]], [[675, 299], [773, 299], [773, 341], [675, 341]], [[1025, 351], [1119, 351], [1119, 393], [1025, 393]], [[87, 381], [127, 381], [127, 509], [87, 509]], [[847, 451], [947, 451], [947, 491], [847, 491]], [[1197, 507], [1333, 507], [1333, 621], [1197, 621]], [[753, 853], [883, 853], [883, 893], [753, 893]], [[184, 1056], [313, 1056], [313, 1113], [184, 1113]], [[235, 1153], [619, 1153], [619, 1195], [235, 1195]], [[711, 1153], [905, 1153], [905, 1195], [711, 1195]], [[235, 1237], [468, 1237], [468, 1285], [235, 1285]], [[702, 1238], [1294, 1238], [1294, 1290], [702, 1290]]]","[0.9763543161711574, 0.9859874844551086, 0.7649139165878296, 0.9792536911941052, 0.9267313046426091, 0.11513197744623316, 0.622361222164157, 0.9988543006163177, 0.7297169582863868, 0.8278067349743707, 0.8935348772043041, 0.821574314444315]","[{""text"": "" Item: "", ""confidence"": 0.9988543006163177, ""bounding_box"": [[184, 1056], [313, 1056], [313, 1113], [184, 1113]]}, {""text"": "" 25cm "", ""confidence"": 0.9859874844551086, ""bounding_box"": [[675, 299], [773, 299], [773, 341], [675, 341]]}, {""text"": "" 42.7cm "", ""confidence"": 0.9792536911941052, ""bounding_box"": [[87, 381], [127, 381], [127, 509], [87, 509]]}, {""text"": ""3 "", ""confidence"": 0.9763543161711574, ""bounding_box"": [[357, 285], [457, 285], [457, 327], [357, 327]]}, {""text"": "" 25cm "", ""confidence"": 0.9267313046426091, ""bounding_box"": [[847, 451], [947, 451], [947, 491], [847, 491]]}, {""text"": "" Area:12-18m2 "", ""confidence"": 0.8935348772043041, ""bounding_box"": [[235, 1237], [468, 1237], [468, 1285], [235, 1285]]}, {""text"": "" Power:55W "", ""confidence"": 0.8278067349743707, ""bounding_box"": [[711, 1153], [905, 1153], [905, 1195], [711, 1195]]}, {""text"": "" Material : Iron + aluminum + Acrylic"", ""confidence"": 0.821574314444315, ""bounding_box"": [[702, 1238], [1294, 1238], [1294, 1290], [702, 1290]]}, {""text"": "" I7cm "", ""confidence"": 0.7649139165878296, ""bounding_box"": [[1025, 351], [1119, 351], [1119, 393], [1025, 393]]}, {""text"": "" Size:L9.5*W42.7*H7cm "", ""confidence"": 0.7297169582863868, ""bounding_box"": [[235, 1153], [619, 1153], [619, 1195], [235, 1195]]}, {""text"": "" 99.5cm "", ""confidence"": 0.622361222164157, ""bounding_box"": [[753, 853], [883, 853], [883, 893], [753, 893]]}, {""text"": "" 0 "", ""confidence"": 0.11513197744623316, ""bounding_box"": [[1197, 507], [1333, 507], [1333, 621], [1197, 621]]}]"
71kZBKgq70L.jpg,316L Stainless Steel; | Never Fade ! | Spinner | Cicin | C | Thickness .2.8mm | 10mm | (0.39inch) | Net weight: 11.4g,"[[[735, 45], [1586, 45], [1586, 160], [735, 160]], [[838, 151], [1363, 151], [1363, 244], [838, 244]], [[271.981082953056, 227.46657774649256], [344.9808053034857, 274.97449199586833], [202.018917046944, 486.5334222535074], [129.01919469651432, 438.02550800413167]], [[633.6546693687885, 320.81199719446636], [755.7461745693428, 401.6776778014601], [528.3453306312115, 728.1880028055336], [406.2538254306573, 646.32232219854]], [[500.0542766952055, 327.1464339259029], [589.9773092806795, 383.03590056387], [470.9457233047945, 570.8535660740971], [382.02269071932045, 514.96409943613]], [[965, 1006], [1419, 1006], [1419, 1075], [965, 1075]], [[330, 1329], [511, 1329], [511, 1397], [330, 1397]], [[287, 1382], [554, 1382], [554, 1462], [287, 1462]], [[617, 1515], [1089, 1515], [1089, 1603], [617, 1603]]]","[0.5953989259799045, 0.5407000653346012, 0.9999653961256877, 0.386217532323512, 0.5661799997370487, 0.8149958154504431, 0.5572832822799683, 0.68877879139613, 0.6449767612396086]","[{""text"": "" Spinner "", ""confidence"": 0.9999653961256877, ""bounding_box"": [[271.981082953056, 227.46657774649256], [344.9808053034857, 274.97449199586833], [202.018917046944, 486.5334222535074], [129.01919469651432, 438.02550800413167]]}, {""text"": "" Thickness .2.8mm "", ""confidence"": 0.8149958154504431, ""bounding_box"": [[965, 1006], [1419, 1006], [1419, 1075], [965, 1075]]}, {""text"": "" (0.39inch) "", ""confidence"": 0.68877879139613, ""bounding_box"": [[287, 1382], [554, 1382], [554, 1462], [287, 1462]]}, {""text"": "" Net weight: 11.4g"", ""confidence"": 0.6449767612396086, ""bounding_box"": [[617, 1515], [1089, 1515], [1089, 1603], [617, 1603]]}, {""text"": ""316L Stainless Steel; "", ""confidence"": 0.5953989259799045, ""bounding_box"": [[735, 45], [1586, 45], [1586, 160], [735, 160]]}, {""text"": "" C "", ""confidence"": 0.5661799997370487, ""bounding_box"": [[500.0542766952055, 327.1464339259029], [589.9773092806795, 383.03590056387], [470.9457233047945, 570.8535660740971], [382.02269071932045, 514.96409943613]]}, {""text"": "" 10mm "", ""confidence"": 0.5572832822799683, ""bounding_box"": [[330, 1329], [511, 1329], [511, 1397], [330, 1397]]}, {""text"": "" Never Fade ! "", ""confidence"": 0.5407000653346012, ""bounding_box"": [[838, 151], [1363, 151], [1363, 244], [838, 244]]}, {""text"": "" Cicin "", ""confidence"": 0.386217532323512, ""bounding_box"": [[633.6546693687885, 320.81199719446636], [755.7461745693428, 401.6776778014601], [528.3453306312115, 728.1880028055336], [406.2538254306573, 646.32232219854]]}]"
51KwDdoKLqL.jpg,3.8cm | 2cm | 25.4cm | 24cm | 22.8cm,"[[[740, 20], [808, 20], [808, 48], [740, 48]], [[408, 84], [456, 84], [456, 110], [408, 110]], [[894, 530], [974, 530], [974, 558], [894, 558]], [[236, 532], [296, 532], [296, 560], [236, 560]], [[516, 538], [594, 538], [594, 566], [516, 566]]]","[0.9998524310572435, 0.9956710312711963, 0.9985803829444642, 0.9979990720748901, 0.9992996269019039]","[{""text"": ""3.8cm "", ""confidence"": 0.9998524310572435, ""bounding_box"": [[740, 20], [808, 20], [808, 48], [740, 48]]}, {""text"": "" 22.8cm"", ""confidence"": 0.9992996269019039, ""bounding_box"": [[516, 538], [594, 538], [594, 566], [516, 566]]}, {""text"": "" 25.4cm "", ""confidence"": 0.9985803829444642, ""bounding_box"": [[894, 530], [974, 530], [974, 558], [894, 558]]}, {""text"": "" 24cm "", ""confidence"": 0.9979990720748901, ""bounding_box"": [[236, 532], [296, 532], [296, 560], [236, 560]]}, {""text"": "" 2cm "", ""confidence"": 0.9956710312711963, ""bounding_box"": [[408, 84], [456, 84], [456, 110], [408, 110]]}]"
81cwvNwlZtL.jpg,"rleshetteie | 10% Naturlich | 1 | HHd.no | 8 | L | 4 | 2 | & | FAIR | Hle | NATURAL, | sauerliche | )) | 4 | Cranberry | CRANBERRY | E8 | & RASPBERRY | 3 | INFUSIQN | 1 | 8, | p | 8 | 8 | 1 | 4 | Sl | 503","[[[446, 149], [832, 149], [832, 313], [446, 313]], [[1265, 239], [1737, 239], [1737, 305], [1265, 305]], [[688, 506], [738, 506], [738, 746], [688, 746]], [[576, 510], [704, 510], [704, 1099], [576, 1099]], [[1070, 520], [1154, 520], [1154, 570], [1070, 570]], [[1077, 575], [1139, 575], [1139, 587], [1077, 587]], [[179, 617], [462, 617], [462, 766], [179, 766]], [[866, 718], [1469, 718], [1469, 1105], [866, 1105]], [[691, 747], [735, 747], [735, 783], [691, 783]], [[690, 785], [734, 785], [734, 887], [690, 887]], [[1517, 875], [1871, 875], [1871, 1111], [1517, 1111]], [[686, 882], [742, 882], [742, 1094], [686, 1094]], [[1530, 1102], [1856, 1102], [1856, 1166], [1530, 1166]], [[590, 1108], [640, 1108], [640, 1160], [590, 1160]], [[81, 1146], [520, 1146], [520, 1295], [81, 1295]], [[1521, 1157], [1864, 1157], [1864, 1257], [1521, 1257]], [[616, 1225], [1081, 1225], [1081, 1309], [616, 1309]], [[1277, 1259], [1369, 1259], [1369, 1395], [1277, 1395]], [[634, 1296], [1060, 1296], [1060, 1373], [634, 1373]], [[1260, 1341], [1335, 1341], [1335, 1398], [1260, 1398]], [[658, 1356], [1036, 1356], [1036, 1482], [658, 1482]], [[1238, 1385], [1391, 1385], [1391, 1498], [1238, 1498]], [[1106, 1436], [1206, 1436], [1206, 1544], [1106, 1544]], [[701, 1466], [993, 1466], [993, 1551], [701, 1551]], [[1252, 1479], [1377, 1479], [1377, 1544], [1252, 1544]], [[1260, 1532], [1370, 1532], [1370, 1592], [1260, 1592]], [[620.613467930429, 1533.0187196834192], [650.2911960966007, 1516.0106134765701], [719.386532069571, 1643.9812803165808], [689.7088039033993, 1660.9893865234299]], [[756, 1554], [966, 1554], [966, 1632], [756, 1632]], [[1291, 1595], [1335, 1595], [1335, 1667], [1291, 1667]], [[817, 1625], [885, 1625], [885, 1691], [817, 1691]]]","[0.29119755139925313, 0.8293092202107591, 0.5913620905299446, 0.8735101691256256, 0.9992581790074837, 0.34837122776767515, 0.822330402400496, 0.6955160191978962, 0.9415233049932716, 0.9998623728752136, 0.2225184561192598, 0.9508047618040387, 0.9995050388214983, 0.4383569664882245, 0.5263414104413187, 0.9979209421422789, 0.9978956566392846, 0.5337827969858864, 0.7988952893528348, 0.9987355893743057, 0.5744044442712569, 0.5751518804897984, 0.29798038505880586, 0.7540506127685518, 0.6042449578173006, 0.9003109608307938, 0.8951297905645248, 0.9983984688878991, 0.509598775235728, 0.5730969038778214]","[{""text"": "" FAIR "", ""confidence"": 0.9998623728752136, ""bounding_box"": [[690, 785], [734, 785], [734, 887], [690, 887]]}, {""text"": "" sauerliche "", ""confidence"": 0.9995050388214983, ""bounding_box"": [[1530, 1102], [1856, 1102], [1856, 1166], [1530, 1166]]}, {""text"": "" 8 "", ""confidence"": 0.9992581790074837, ""bounding_box"": [[1070, 520], [1154, 520], [1154, 570], [1070, 570]]}, {""text"": "" 3 "", ""confidence"": 0.9987355893743057, ""bounding_box"": [[1260, 1341], [1335, 1341], [1335, 1398], [1260, 1398]]}, {""text"": "" 4 "", ""confidence"": 0.9983984688878991, ""bounding_box"": [[756, 1554], [966, 1554], [966, 1632], [756, 1632]]}, {""text"": "" Cranberry "", ""confidence"": 0.9979209421422789, ""bounding_box"": [[1521, 1157], [1864, 1157], [1864, 1257], [1521, 1257]]}, {""text"": "" CRANBERRY "", ""confidence"": 0.9978956566392846, ""bounding_box"": [[616, 1225], [1081, 1225], [1081, 1309], [616, 1309]]}, {""text"": "" NATURAL, "", ""confidence"": 0.9508047618040387, ""bounding_box"": [[686, 882], [742, 882], [742, 1094], [686, 1094]]}, {""text"": "" & "", ""confidence"": 0.9415233049932716, ""bounding_box"": [[691, 747], [735, 747], [735, 783], [691, 783]]}, {""text"": "" 8 "", ""confidence"": 0.9003109608307938, ""bounding_box"": [[1260, 1532], [1370, 1532], [1370, 1592], [1260, 1592]]}, {""text"": "" 1 "", ""confidence"": 0.8951297905645248, ""bounding_box"": [[620.613467930429, 1533.0187196834192], [650.2911960966007, 1516.0106134765701], [719.386532069571, 1643.9812803165808], [689.7088039033993, 1660.9893865234299]]}, {""text"": "" HHd.no "", ""confidence"": 0.8735101691256256, ""bounding_box"": [[576, 510], [704, 510], [704, 1099], [576, 1099]]}, {""text"": "" 10% Naturlich "", ""confidence"": 0.8293092202107591, ""bounding_box"": [[1265, 239], [1737, 239], [1737, 305], [1265, 305]]}, {""text"": "" 4 "", ""confidence"": 0.822330402400496, ""bounding_box"": [[179, 617], [462, 617], [462, 766], [179, 766]]}, {""text"": "" & RASPBERRY "", ""confidence"": 0.7988952893528348, ""bounding_box"": [[634, 1296], [1060, 1296], [1060, 1373], [634, 1373]]}, {""text"": "" p "", ""confidence"": 0.7540506127685518, ""bounding_box"": [[701, 1466], [993, 1466], [993, 1551], [701, 1551]]}, {""text"": "" 2 "", ""confidence"": 0.6955160191978962, ""bounding_box"": [[866, 718], [1469, 718], [1469, 1105], [866, 1105]]}, {""text"": "" 8 "", ""confidence"": 0.6042449578173006, ""bounding_box"": [[1252, 1479], [1377, 1479], [1377, 1544], [1252, 1544]]}, {""text"": "" 1 "", ""confidence"": 0.5913620905299446, ""bounding_box"": [[688, 506], [738, 506], [738, 746], [688, 746]]}, {""text"": "" 1 "", ""confidence"": 0.5751518804897984, ""bounding_box"": [[1238, 1385], [1391, 1385], [1391, 1498], [1238, 1498]]}]"
61QfZZsfL8L.jpg,ENTWINQ | LL14U RGB PWM FAN (SINGLE) | 140mm fan equipped with dual RGB light loops:,"[[[191, 113], [383, 113], [383, 151], [191, 151]], [[221, 959], [1007, 959], [1007, 1045], [221, 1045]], [[234, 1047], [967, 1047], [967, 1096], [234, 1096]]]","[0.5688261544703042, 0.6077501761244519, 0.8876966190089571]","[{""text"": "" 140mm fan equipped with dual RGB light loops:"", ""confidence"": 0.8876966190089571, ""bounding_box"": [[234, 1047], [967, 1047], [967, 1096], [234, 1096]]}, {""text"": "" LL14U RGB PWM FAN (SINGLE) "", ""confidence"": 0.6077501761244519, ""bounding_box"": [[221, 959], [1007, 959], [1007, 1045], [221, 1045]]}, {""text"": ""ENTWINQ "", ""confidence"": 0.5688261544703042, ""bounding_box"": [[191, 113], [383, 113], [383, 151], [191, 151]]}]"
